NO.	compound_name	IUPAC_name	SMILES	CID	logBB	BBB+/BBB-	Inchi	threshold	reference	group	comments
1	acetyl-d-carnitine	(3S)-3-acetyloxy-4-(trimethylazaniumyl)butanoate	CC(=O)O[C@@H](CC(=O)[O-])C[N+](C)(C)C	18230		BBB+	InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m0/s1		DrugBank	E	DrugBank
2	Melatonin	N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide	COc1ccc2[nH]cc(CCNC(C)=O)c2c1	896		BBB+	InChI=1S/C13H16N2O2/c1-9(16)14-6-5-10-8-15-13-4-3-11(17-2)7-12(10)13/h3-4,7-8,15H,5-6H2,1-2H3,(H,14,16)		DrugBank	E	DrugBank
3	N-Acetyl-L-leucine	(2S)-2-acetamido-4-methylpentanoic acid	CC(=O)N[C@@H](CC(C)C)C(=O)O	70912		BBB+	InChI=1S/C8H15NO3/c1-5(2)4-7(8(11)12)9-6(3)10/h5,7H,4H2,1-3H3,(H,9,10)(H,11,12)/t7-/m0/s1		DrugBank	E	DrugBank
4	amantadine	adamantan-1-amine	N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2	2130		BBB+	InChI=1S/C10H17N/c11-10-4-7-1-8(5-10)3-9(2-7)6-10/h7-9H,1-6,11H2/t7-,8+,9-,10-		DrugBank	E	DrugBank
5	Aramisulpride	4-amino-N-[[(2R)-1-ethylpyrrolidin-2-yl]methyl]-5-ethylsulfonyl-2-methoxybenzamide	CCN1CCC[C@@H]1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC	5746246		BBB+	InChI=1S/C17H27N3O4S/c1-4-20-8-6-7-12(20)11-19-17(21)13-9-16(25(22,23)5-2)14(18)10-15(13)24-3/h9-10,12H,4-8,11,18H2,1-3H3,(H,19,21)/t12-/m1/s1		DrugBank	E	DrugBank
6	SCHEMBL40777	(1S)-1-[(1R,2R,4R)-2-bicyclo[2.2.1]hept-5-enyl]-1-phenyl-3-piperidin-1-ylpropan-1-ol	O[C@](CCN1CCCCC1)(c1ccccc1)[C@@H]1C[C@@H]2C=C[C@H]1C2	12149109		BBB+	InChI=1S/C21H29NO/c23-21(19-7-3-1-4-8-19,11-14-22-12-5-2-6-13-22)20-16-17-9-10-18(20)15-17/h1,3-4,7-10,17-18,20,23H,2,5-6,11-16H2/t17-,18+,20-,21-/m1/s1		DrugBank	E	DrugBank
7	Levobupivacaine	(2S)-1-butyl-N-(2,6-dimethylphenyl)piperidine-2-carboxamide	CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C	92253		BBB+	InChI=1S/C18H28N2O/c1-4-5-12-20-13-7-6-11-16(20)18(21)19-17-14(2)9-8-10-15(17)3/h8-10,16H,4-7,11-13H2,1-3H3,(H,19,21)/t16-/m0/s1		DrugBank	E	DrugBank
8	107220-27-9	(2R,5S)-2-methylspiro[1,3-oxathiolane-5,3'-1-azabicyclo[2.2.2]octane]	C[C@@H]1O[C@]2(CS1)CN1CCC2CC1	11041760		BBB+	InChI=1S/C10H17NOS/c1-8-12-10(7-13-8)6-11-4-2-9(10)3-5-11/h8-9H,2-7H2,1H3/t8-,10+/m1/s1		DrugBank	E	DrugBank
9	chlordiazepoxide	7-chloro-4-hydroxy-N-methyl-5-phenyl-3H-1,4-benzodiazepin-2-imine	C/N=C1/CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1	2712		BBB+	InChI=1S/C16H14ClN3O/c1-18-15-10-20(21)16(11-5-3-2-4-6-11)13-9-12(17)7-8-14(13)19-15/h2-9,21H,10H2,1H3/b18-15-		DrugBank	E	DrugBank
10	Cloxazolam, (S)-	(11bS)-10-chloro-11b-(2-chlorophenyl)-2,3,5,7-tetrahydro-[1,3]oxazolo[3,2-d][1,4]benzodiazepin-6-one	O=C1CN2CCO[C@]2(c2ccccc2Cl)c2cc(Cl)ccc2N1	25271643		BBB+	InChI=1S/C17H14Cl2N2O2/c18-11-5-6-15-13(9-11)17(12-3-1-2-4-14(12)19)21(7-8-23-17)10-16(22)20-15/h1-6,9H,7-8,10H2,(H,20,22)/t17-/m1/s1		DrugBank	E	DrugBank
11	diflunisal	5-(2,4-difluorophenyl)-2-hydroxybenzoic acid	O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O	3059		BBB+	InChI=1S/C13H8F2O3/c14-8-2-3-9(11(15)6-8)7-1-4-12(16)10(5-7)13(17)18/h1-6,16H,(H,17,18)		DrugBank	E	DrugBank
12	FONAZINE, (R)-	10-[(2R)-2-(dimethylamino)propyl]-N,N-dimethylphenothiazine-2-sulfonamide	C[C@H](CN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21)N(C)C	76960728		BBB+	InChI=1S/C19H25N3O2S2/c1-14(20(2)3)13-22-16-8-6-7-9-18(16)25-19-11-10-15(12-17(19)22)26(23,24)21(4)5/h6-12,14H,13H2,1-5H3/t14-/m1/s1		DrugBank	E	DrugBank
13	disulfiram	diethylcarbamothioylsulfanyl N,N-diethylcarbamodithioate	CCN(CC)C(=S)SSC(=S)N(CC)CC	3117		BBB+	InChI=1S/C10H20N2S4/c1-5-11(6-2)9(13)15-16-10(14)12(7-3)8-4/h5-8H2,1-4H3		DrugBank	E	DrugBank
14	Levofenfluramine	(2R)-N-ethyl-1-[3-(trifluoromethyl)phenyl]propan-2-amine	CCN[C@H](C)Cc1cccc(C(F)(F)F)c1	65801		BBB+	InChI=1S/C12H16F3N/c1-3-16-9(2)7-10-5-4-6-11(8-10)12(13,14)15/h4-6,8-9,16H,3,7H2,1-2H3/t9-/m1/s1		DrugBank	E	DrugBank
15	FLOCTAFENINE, (R)-	[(2R)-2,3-dihydroxypropyl] 2-[[8-(trifluoromethyl)quinolin-4-yl]amino]benzoate	O=C(OC[C@H](O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12	76958517		BBB+	InChI=1S/C20H17F3N2O4/c21-20(22,23)15-6-3-5-13-17(8-9-24-18(13)15)25-16-7-2-1-4-14(16)19(28)29-11-12(27)10-26/h1-9,12,26-27H,10-11H2,(H,24,25)/t12-/m1/s1		DrugBank	E	DrugBank
16	Glafenine, (R)-	[(2R)-2,3-dihydroxypropyl] 2-[(7-chloroquinolin-4-yl)amino]benzoate	O=C(OC[C@H](O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12	969495		BBB+	InChI=1S/C19H17ClN2O4/c20-12-5-6-14-17(7-8-21-18(14)9-12)22-16-4-2-1-3-15(16)19(25)26-11-13(24)10-23/h1-9,13,23-24H,10-11H2,(H,21,22)/t13-/m1/s1		DrugBank	E	DrugBank
17	maprotiline	N-methyl-3-(1-tetracyclo[6.6.2.02,7.09,14]hexadeca-2,4,6,9,11,13-hexaenyl)propan-1-amine	CNCCC[C@]12CC[C@H](c3ccccc31)c1ccccc12	4011		BBB+	InChI=1S/C20H23N/c1-21-14-6-12-20-13-11-15(16-7-2-4-9-18(16)20)17-8-3-5-10-19(17)20/h2-5,7-10,15,21H,6,11-14H2,1H3/t15-,20+		DrugBank	E	DrugBank
18	Mazaticol	[(1R,3R,5R)-6,6,9-trimethyl-9-azabicyclo[3.3.1]nonan-3-yl] 2-hydroxy-2,2-dithiophen-2-ylacetate	CN1[C@@H]2CCC(C)(C)[C@H]1C[C@H](OC(=O)C(O)(c1cccs1)c1cccs1)C2	68667		BBB+	InChI=1S/C21H27NO3S2/c1-20(2)9-8-14-12-15(13-16(20)22(14)3)25-19(23)21(24,17-6-4-10-26-17)18-7-5-11-27-18/h4-7,10-11,14-16,24H,8-9,12-13H2,1-3H3/t14-,15-,16-/m1/s1		DrugBank	E	DrugBank
19	(3R,5S)-3,5-dimethyl-1-adamantanamine	(3S,5R)-3,5-dimethyladamantan-1-amine	C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](N)(C3)C2	1263681		BBB+	InChI=1S/C12H21N/c1-10-3-9-4-11(2,6-10)8-12(13,5-9)7-10/h9H,3-8,13H2,1-2H3/t9-,10+,11-,12-		DrugBank	E	DrugBank
20	D-mepivacaine	(2R)-N-(2,6-dimethylphenyl)-1-methylpiperidine-2-carboxamide	Cc1cccc(C)c1NC(=O)[C@H]1CCCCN1C	6918904		BBB+	InChI=1S/C15H22N2O/c1-11-7-6-8-12(2)14(11)16-15(18)13-9-4-5-10-17(13)3/h6-8,13H,4-5,9-10H2,1-3H3,(H,16,18)/t13-/m1/s1		DrugBank	E	DrugBank
21	Levomethadone	(6R)-6-(dimethylamino)-4,4-diphenylheptan-3-one	CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1	22267		BBB+	InChI=1S/C21H27NO/c1-5-20(23)21(16-17(2)22(3)4,18-12-8-6-9-13-18)19-14-10-7-11-15-19/h6-15,17H,5,16H2,1-4H3/t17-/m1/s1		DrugBank	E	DrugBank
22	(R)-Methixene	(3R)-1-methyl-3-(9H-thioxanthen-9-ylmethyl)piperidine	CN1CCC[C@H](CC2c3ccccc3Sc3ccccc32)C1	44163540		BBB+	InChI=1S/C20H23NS/c1-21-12-6-7-15(14-21)13-18-16-8-2-4-10-19(16)22-20-11-5-3-9-17(18)20/h2-5,8-11,15,18H,6-7,12-14H2,1H3/t15-/m1/s1		DrugBank	E	DrugBank
23	Modafinil, (+)-	2-[(S)-benzhydrylsulfinyl]acetamide	NC(=O)C[S@](=O)C(c1ccccc1)c1ccccc1	11173366		BBB+	InChI=1S/C15H15NO2S/c16-14(17)11-19(18)15(12-7-3-1-4-8-12)13-9-5-2-6-10-13/h1-10,15H,11H2,(H2,16,17)/t19-/m0/s1		DrugBank	E	DrugBank
24	(R)-mosapramine	(8aR)-1'-[3-(2-chloro-5,6-dihydrobenzo[b][1]benzazepin-11-yl)propyl]spiro[1,5,6,7,8,8a-hexahydroimidazo[1,2-a]pyridine-3,4'-piperidine]-2-one	O=C1N[C@H]2CCCCN2C12CCN(CCCN1c3ccccc3CCc3ccc(Cl)cc31)CC2	12831242		BBB+	InChI=1S/C28H35ClN4O/c29-23-12-11-22-10-9-21-6-1-2-7-24(21)32(25(22)20-23)16-5-15-31-18-13-28(14-19-31)27(34)30-26-8-3-4-17-33(26)28/h1-2,6-7,11-12,20,26H,3-5,8-10,13-19H2,(H,30,34)/t26-/m1/s1		DrugBank	E	DrugBank
25	NEOSTIGMINE	[3-(dimethylcarbamoyloxy)phenyl]-trimethylazanium	CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1	4456		BBB+	InChI=1S/C12H19N2O2/c1-13(2)12(15)16-11-8-6-7-10(9-11)14(3,4)5/h6-9H,1-5H3/q+1		DrugBank	E	DrugBank
26	nifenazone	N-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)pyridine-3-carboxamide	Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C	4487		BBB+	InChI=1S/C17H16N4O2/c1-12-15(19-16(22)13-7-6-10-18-11-13)17(23)21(20(12)2)14-8-4-3-5-9-14/h3-11H,1-2H3,(H,19,22)		DrugBank	E	DrugBank
27	phenacetin	N-(4-ethoxyphenyl)acetamide	CCOc1ccc(NC(C)=O)cc1	4754		BBB+	InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)		DrugBank	E	DrugBank
28	14289-32-8	(2R)-N-(2-methylphenyl)-2-(propylamino)propanamide	CCCN[C@H](C)C(=O)Nc1ccccc1C	12444990		BBB+	InChI=1S/C13H20N2O/c1-4-9-14-11(3)13(16)15-12-8-6-5-7-10(12)2/h5-8,11,14H,4,9H2,1-3H3,(H,15,16)/t11-/m1/s1		DrugBank	E	DrugBank
29	propentofylline	3-methyl-1-(5-oxohexyl)-7-propylpurine-2,6-dione	CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C	4938		BBB+	InChI=1S/C15H22N4O3/c1-4-8-18-10-16-13-12(18)14(21)19(15(22)17(13)3)9-6-5-7-11(2)20/h10H,4-9H2,1-3H3		DrugBank	E	DrugBank
30	pyridostigmine	(1-methylpyridin-1-ium-3-yl) N,N-dimethylcarbamate	CN(C)C(=O)Oc1ccc[n+](C)c1	4991		BBB+	InChI=1S/C9H13N2O2/c1-10(2)9(12)13-8-5-4-6-11(3)7-8/h4-7H,1-3H3/q+1		DrugBank	E	DrugBank
31	salicylamide	2-hydroxybenzamide	NC(=O)c1ccccc1O	5147		BBB+	InChI=1S/C7H7NO2/c8-7(10)5-3-1-2-4-6(5)9/h1-4,9H,(H2,8,10)		DrugBank	E	DrugBank
32	Salsalate	2-(2-hydroxybenzoyl)oxybenzoic acid	O=C(Oc1ccccc1C(=O)O)c1ccccc1O	5161		BBB+	InChI=1S/C14H10O5/c15-11-7-3-1-5-9(11)14(18)19-12-8-4-2-6-10(12)13(16)17/h1-8,15H,(H,16,17)		DrugBank	E	DrugBank
33	(+)-Scopolamine	[(1R,2R,4S,5S)-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl] (2R)-3-hydroxy-2-phenylpropanoate	CN1[C@@H]2C[C@H](OC(=O)[C@@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12	673473		BBB+	InChI=1S/C17H21NO4/c1-18-13-7-11(8-14(18)16-15(13)22-16)21-17(20)12(9-19)10-5-3-2-4-6-10/h2-6,11-16,19H,7-9H2,1H3/t11-,12-,13+,14-,15+,16-/m0/s1		DrugBank	E	DrugBank
34	tetracaine	2-(dimethylamino)ethyl 4-(butylamino)benzoate	CCCCNc1ccc(C(=O)OCCN(C)C)cc1	5411		BBB+	InChI=1S/C15H24N2O2/c1-4-5-10-16-14-8-6-13(7-9-14)15(18)19-12-11-17(2)3/h6-9,16H,4-5,10-12H2,1-3H3		DrugBank	E	DrugBank
35	triclofos	2,2,2-trichloroethyl dihydrogen phosphate	O=P(O)(O)OCC(Cl)(Cl)Cl	5563		BBB+	InChI=1S/C2H4Cl3O4P/c3-2(4,5)1-9-10(6,7)8/h1H2,(H2,6,7,8)		DrugBank	E	DrugBank
36	(R)-trihexyphenidyl	(1R)-1-cyclohexyl-1-phenyl-3-piperidin-1-ylpropan-1-ol	O[C@@](CCN1CCCCC1)(c1ccccc1)C1CCCCC1	207843		BBB+	InChI=1S/C20H31NO/c22-20(18-10-4-1-5-11-18,19-12-6-2-7-13-19)14-17-21-15-8-3-9-16-21/h1,4-5,10-11,19,22H,2-3,6-9,12-17H2/t20-/m0/s1		DrugBank	E	DrugBank
37	pilocarpine	(3S,4R)-3-ethyl-4-[(3-methylimidazol-4-yl)methyl]oxolan-2-one	CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C	5910		BBB+	InChI=1S/C11H16N2O2/c1-3-10-8(6-15-11(10)14)4-9-5-12-7-13(9)2/h5,7-8,10H,3-4,6H2,1-2H3/t8-,10-/m0/s1		DrugBank	E	DrugBank
38	3,4-DIAMINOPYRIDINE	pyridine-3,4-diamine	Nc1ccncc1N	5918		BBB+	InChI=1S/C5H7N3/c6-4-1-2-8-3-5(4)7/h1-3H,7H2,(H2,6,8)		DrugBank	E	DrugBank
39	(R)-mebutamate	[(3R)-2-(carbamoyloxymethyl)-2,3-dimethylpentyl] carbamate	CC[C@@H](C)C(C)(COC(N)=O)COC(N)=O	57066553		BBB+	InChI=1S/C10H20N2O4/c1-4-7(2)10(3,5-15-8(11)13)6-16-9(12)14/h7H,4-6H2,1-3H3,(H2,11,13)(H2,12,14)/t7-/m1/s1		DrugBank	E	DrugBank
40	Butanoic acid, 2-amino-, (2S)-	(2S)-2-aminobutanoic acid	CC[C@H](N)C(=O)O	80283		BBB+	InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1		DrugBank	E	DrugBank
41		(5S)-5-ethyl-3,5-dimethyl-1,3-oxazolidine-2,4-dione	CC[C@]1(C)OC(=O)N(C)C1=O	51380896		BBB+	InChI=1S/C7H11NO3/c1-4-7(2)5(9)8(3)6(10)11-7/h4H2,1-3H3/t7-/m0/s1		DrugBank	E	DrugBank
42	CHLOROPROCAINE	2-(diethylamino)ethyl 4-amino-2-chlorobenzoate	CCN(CC)CCOC(=O)c1ccc(N)cc1Cl	8612		BBB+	InChI=1S/C13H19ClN2O2/c1-3-16(4-2)7-8-18-13(17)11-6-5-10(15)9-12(11)14/h5-6,9H,3-4,7-8,15H2,1-2H3		DrugBank	E	DrugBank
43	SCHEMBL19420179	(5R)-5-[(2S)-hex-3-yn-2-yl]-1-methyl-5-prop-2-enyl-1,3-diazinane-2,4,6-trione	C=CC[C@@]1([C@@H](C)C#CCC)C(=O)NC(=O)N(C)C1=O	51397655		BBB+	InChI=1S/C14H18N2O3/c1-5-7-8-10(3)14(9-6-2)11(17)15-13(19)16(4)12(14)18/h6,10H,2,5,9H2,1,3-4H3,(H,15,17,19)/t10-,14+/m0/s1		DrugBank	E	DrugBank
44	methysergide	(6aR,9R)-N-[(2S)-1-hydroxybutan-2-yl]-4,7-dimethyl-6,6a,8,9-tetrahydroindolo[4,3-fg]quinoline-9-carboxamide	CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1	9681		BBB+	InChI=1S/C21H27N3O2/c1-4-15(12-25)22-21(26)14-8-17-16-6-5-7-18-20(16)13(10-23(18)2)9-19(17)24(3)11-14/h5-8,10,14-15,19,25H,4,9,11-12H2,1-3H3,(H,22,26)/t14-,15+,19-/m1/s1		DrugBank	E	DrugBank
45	CYTISINE	(1R,9S)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one	O=c1cccc2n1C[C@@H]1CNC[C@H]2C1	10235		BBB+	InChI=1S/C11H14N2O/c14-11-3-1-2-10-9-4-8(5-12-6-9)7-13(10)11/h1-3,8-9,12H,4-7H2/t8-,9+/m0/s1		DrugBank	E	DrugBank
46	CAPTODIAME, (R)-	2-[(R)-(4-butylsulfanylphenyl)-phenylmethyl]sulfanyl-N,N-dimethylethanamine	CCCCSc1ccc([C@H](SCCN(C)C)c2ccccc2)cc1	76959957		BBB+	InChI=1S/C21H29NS2/c1-4-5-16-23-20-13-11-19(12-14-20)21(24-17-15-22(2)3)18-9-7-6-8-10-18/h6-14,21H,4-5,15-17H2,1-3H3/t21-/m1/s1		DrugBank	E	DrugBank
47	ETHADIONE	3-ethyl-5,5-dimethyl-1,3-oxazolidine-2,4-dione	CCN1C(=O)OC(C)(C)C1=O	10630		BBB+	InChI=1S/C7H11NO3/c1-4-8-5(9)7(2,3)11-6(8)10/h4H2,1-3H3		DrugBank	E	DrugBank
48	PD133022	(2S)-N-carbamoyl-2-propan-2-ylpent-4-enamide	C=CC[C@H](C(=O)NC(N)=O)C(C)C	76961142		BBB+	InChI=1S/C9H16N2O2/c1-4-5-7(6(2)3)8(12)11-9(10)13/h4,6-7H,1,5H2,2-3H3,(H3,10,11,12,13)/t7-/m0/s1		DrugBank	E	DrugBank
49	METABUTETHAMINE	2-(2-methylpropylamino)ethyl 3-aminobenzoate	CC(C)CNCCOC(=O)c1cccc(N)c1	11115		BBB+	InChI=1S/C13H20N2O2/c1-10(2)9-15-6-7-17-13(16)11-4-3-5-12(14)8-11/h3-5,8,10,15H,6-7,9,14H2,1-2H3		DrugBank	E	DrugBank
50		ethyl 1-[(3S)-3-hydroxy-3-phenylpropyl]-4-phenylpiperidine-4-carboxylate	CCOC(=O)C1(c2ccccc2)CCN(CC[C@H](O)c2ccccc2)CC1	92215562		BBB+	InChI=1S/C23H29NO3/c1-2-27-22(26)23(20-11-7-4-8-12-20)14-17-24(18-15-23)16-13-21(25)19-9-5-3-6-10-19/h3-12,21,25H,2,13-18H2,1H3/t21-/m0/s1		DrugBank	E	DrugBank
51	citicoline	[[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] 2-(trimethylazaniumyl)ethyl phosphate	C[N+](C)(C)CCO[P@](=O)([O-])O[P@@](=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O	13804		BBB+	InChI=1S/C14H26N4O11P2/c1-18(2,3)6-7-26-30(22,23)29-31(24,25)27-8-9-11(19)12(20)13(28-9)17-5-4-10(15)16-14(17)21/h4-5,9,11-13,19-20H,6-8H2,1-3H3,(H3-,15,16,21,22,23,24,25)/t9-,11-,12-,13-/m1/s1		DrugBank	E	DrugBank
52	citicoline	2-[[[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxyethyl-trimethylazanium	C[N+](C)(C)CCO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O	13805		BBB+	InChI=1S/C14H26N4O11P2/c1-18(2,3)6-7-26-30(22,23)29-31(24,25)27-8-9-11(19)12(20)13(28-9)17-5-4-10(15)16-14(17)21/h4-5,9,11-13,19-20H,6-8H2,1-3H3,(H3-,15,16,21,22,23,24,25)/p+1/t9-,11-,12-,13-/m1/s1		DrugBank	E	DrugBank
53	(R)-4-AMINO-3-PHENYLBUTANOIC ACID	(3R)-4-amino-3-phenylbutanoic acid	NC[C@H](CC(=O)O)c1ccccc1	685622		BBB+	InChI=1S/C10H13NO2/c11-7-9(6-10(12)13)8-4-2-1-3-5-8/h1-5,9H,6-7,11H2,(H,12,13)/t9-/m0/s1		DrugBank	E	DrugBank
54	PD132851	(3R)-N-(4-ethoxyphenyl)-3-hydroxybutanamide	CCOc1ccc(NC(=O)C[C@@H](C)O)cc1	6918884		BBB+	InChI=1S/C12H17NO3/c1-3-16-11-6-4-10(5-7-11)13-12(15)8-9(2)14/h4-7,9,14H,3,8H2,1-2H3,(H,13,15)/t9-/m1/s1		DrugBank	E	DrugBank
55	902HX6LS3B	(1S,2S,3R,4R)-N-ethyl-3-phenylbicyclo[2.2.1]heptan-2-amine	CCN[C@H]1[C@H]2CC[C@H](C2)[C@@H]1c1ccccc1	76960649		BBB+	InChI=1S/C15H21N/c1-2-16-15-13-9-8-12(10-13)14(15)11-6-4-3-5-7-11/h3-7,12-16H,2,8-10H2,1H3/t12-,13+,14+,15+/m1/s1		DrugBank	E	DrugBank
56	(+)-Phenazocine	(1S,9S,13S)-1,13-dimethyl-10-(2-phenylethyl)-10-azatricyclo[7.3.1.02,7]trideca-2(7),3,5-trien-4-ol	C[C@@H]1[C@@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2CCc1ccccc1	3048356		BBB+	InChI=1S/C22H27NO/c1-16-21-14-18-8-9-19(24)15-20(18)22(16,2)11-13-23(21)12-10-17-6-4-3-5-7-17/h3-9,15-16,21,24H,10-14H2,1-2H3/t16-,21+,22+/m1/s1		DrugBank	E	DrugBank
57	CHEMBL399122	2-[2-[4-[(2R)-2-methyl-3-phenothiazin-10-ylpropyl]piperazin-1-yl]ethoxy]ethanol	C[C@H](CN1CCN(CCOCCO)CC1)CN1c2ccccc2Sc2ccccc21	9932302		BBB+	InChI=1S/C24H33N3O2S/c1-20(18-26-12-10-25(11-13-26)14-16-29-17-15-28)19-27-21-6-2-4-8-23(21)30-24-9-5-3-7-22(24)27/h2-9,20,28H,10-19H2,1H3/t20-/m1/s1		DrugBank	E	DrugBank
58		5-[(2R)-2-hydroxypropyl]-5-prop-2-enyl-1,3-diazinane-2,4,6-trione	C=CCC1(C[C@@H](C)O)C(=O)NC(=O)NC1=O	76968709		BBB+	InChI=1S/C10H14N2O4/c1-3-4-10(5-6(2)13)7(14)11-9(16)12-8(10)15/h3,6,13H,1,4-5H2,2H3,(H2,11,12,14,15,16)/t6-/m1/s1		DrugBank	E	DrugBank
59		(5S)-5-(2-bromoprop-2-enyl)-1-methyl-5-propan-2-yl-1,3-diazinane-2,4,6-trione	C=C(Br)C[C@]1(C(C)C)C(=O)NC(=O)N(C)C1=O	76963951		BBB+	InChI=1S/C11H15BrN2O3/c1-6(2)11(5-7(3)12)8(15)13-10(17)14(4)9(11)16/h6H,3,5H2,1-2,4H3,(H,13,15,17)/t11-/m0/s1		DrugBank	E	DrugBank
